emp_no,first_name,last_name,to_date
12125,Shounak,Erman,1/1/99
12149,Suebskul,Grandbois,1/1/99
12159,Shem,Perly,1/1/99
12165,Xiaobin,Maquelin,1/1/99
12183,Harngdar,Iisaku,1/1/99
12192,Feiyu,Klyachko,1/1/99
12205,Sushant,Rossi,1/1/99
12206,Barton,Janetzko,1/1/99
12218,Yaghout,Strooper,1/1/99
12221,Vincent,Melter,1/1/99
12222,Abdelwaheb,Holburn,1/1/99
12223,Niteen,Koyama,1/1/99
12247,Subbu,Penttonen,1/1/99
12249,Eldridge,Sadowski,1/1/99
12256,Guadalupe,Reghbati,1/1/99
12264,Mart,Pagter,1/1/99
12270,Shakhar,Kornyak,1/1/99
12272,Behnaam,Grandbois,1/1/99
12308,Mototsugu,Cronau,1/1/99
12311,Susanne,Lubachevsky,1/1/99
12327,DAIDA,Bruckman,1/1/99
12341,Rasiah,Luga,1/1/99
12343,Sorina,Slaats,1/1/99
12365,Kamakshi,Bisiani,1/1/99
12373,Mooi,Driscoll,1/1/99
12395,Sanjit,Felder,1/1/99
12399,Mihalis,Luga,1/1/99
12411,Shao,Ibel,1/1/99
12413,Hugh,Gadepally,1/1/99
12417,Dannz,Spelt,1/1/99
12422,Berhard,Demos,1/1/99
12454,Kerryn,Farris,1/1/99
12464,Shai,Milicic,1/1/99
12475,Filipe,Roison,1/1/99
12487,Mona,Reghbati,1/1/99
12489,Arnould,Munck,1/1/99
12490,Jackson,Muchinsky,1/1/99
12497,Stein,Penz,1/1/99
12501,Morrie,Matheson,1/1/99
12504,Adly,Rosaz,1/1/99
12514,Tomofumi,Melter,1/1/99
12528,Conor,Cincotta,1/1/99
12534,Yongmao,Gerlach,1/1/99
12541,Shih,Nanard,1/1/99
12542,Kazuhide,Bouloucos,1/1/99
12551,Jeane,Tzvieli,1/1/99
12553,Aral,Vesna,1/1/99
12557,Stafford,Kopetz,1/1/99
12589,Anoosh,Chleq,1/1/99
12596,Breannda,Roisin,1/1/99
12601,Ghassan,Simkin,1/1/99
12608,Nectarios,Mondadori,1/1/99
12635,Xinyu,Restivo,1/1/99
12638,Yuqun,Seiwald,1/1/99
12642,Suebskul,Gips,1/1/99
12651,Pragnesh,Bael,1/1/99
12662,Leucio,Alvarado,1/1/99
12663,Nobuyoshi,Stellhorn,1/1/99
12664,Zhonghua,Parveen,1/1/99
12689,Luerbio,Boudaillier,1/1/99
12691,Oddvar,Gils,1/1/99
12697,Uri,Brizzi,1/1/99
12709,Ronghao,Botman,1/1/99
12717,Tzu,Jiafu,1/1/99
12722,Elliott,Cheshire,1/1/99
12726,Fumitake,Panwar,1/1/99
12729,Nahla,Rahier,1/1/99
12731,Yongmao,Waymire,1/1/99
12732,Mara,Takanami,1/1/99
12734,Gil,Frijda,1/1/99
12755,Rildo,Rodite,1/1/99
12773,Jenwei,Lovengreen,1/1/99
12790,Gunilla,Perl,1/1/99
12795,Masoud,Fordan,1/1/99
12798,Lillian,Beeson,1/1/99
12803,Gad,Boissier,1/1/99
12815,Sushant,Junot,1/1/99
12819,Mountaz,Gubsky,1/1/99
12848,Kazuhide,Smeets,1/1/99
12863,Leif,Matheson,1/1/99
12872,Marl,Schmittgen,1/1/99
12879,Baruch,Eugenio,1/1/99
12890,Neven,Casley,1/1/99
12893,Licheng,Crouzet,1/1/99
12895,Roddy,Serot,1/1/99
12905,Munehiro,Gecsei,1/1/99
12926,Heekeun,Luby,1/1/99
12940,Odinaldo,Farrar,1/1/99
12941,Tommaso,Perelgut,1/1/99
12949,Geoff,Asrin,1/1/99
12977,Byong,Markovitch,1/1/99
12983,Elliott,Hambrick,1/1/99
13030,Yahiko,Kroll,1/1/99
13046,Vivian,Stafford,1/1/99
13047,Atilio,Chelton,1/1/99
13075,Rosella,Morrin,1/1/99
13076,Deniz,Skafidas,1/1/99
13096,Ibibia,Armand,1/1/99
13103,Srinidhi,Ellozy,1/1/99
13124,Quingbo,Garnick,1/1/99
13133,Guther,Senzako,1/1/99
13134,Lorien,Chepyzhov,1/1/99
13144,Persi,Nollmann,1/1/99
13146,Haldon,Erie,1/1/99
13147,Shichao,Ginesta,1/1/99
13156,Akeel,Millington,1/1/99
13165,Lucian,Benner,1/1/99
13168,Munir,Stentiford,1/1/99
13170,Cheong,Bernardeschi,1/1/99
13171,Anoosh,Birnbaum,1/1/99
13173,Arve,Horswill,1/1/99
13179,Moty,Janocha,1/1/99
13182,Kokou,Rodite,1/1/99
13186,Kyoichi,Barbanera,1/1/99
13192,Rosita,Flowers,1/1/99
13202,Aram,Scharstein,1/1/99
13210,Jianhua,Klassen,1/1/99
13213,Hein,Billawala,1/1/99
13232,Mitchel,Fujisaki,1/1/99
13233,Alselm,Chvatal,1/1/99
13238,Ebru,Foote,1/1/99
13240,King,Pileggi,1/1/99
13250,Zeydy,Schusler,1/1/99
13272,Arun,Jiang,1/1/99
13276,Yechiam,Seuren,1/1/99
13288,Muneo,Broomell,1/1/99
13291,Georg,Stamatiou,1/1/99
13302,Mack,Alencar,1/1/99
13315,Sakthirel,Stroustrup,1/1/99
13332,Nidapan,Pearson,1/1/99
13333,Yoshinari,Hennebert,1/1/99
13341,Bodh,Doering,1/1/99
13343,Heon,Usery,1/1/99
13368,Kiyokazu,Klassen,1/1/99
13371,Nakhoon,Riexinger,1/1/99
13373,Juichirou,Naumovich,1/1/99
13385,Claudi,Buchter,1/1/99
13386,Khosrow,Sgarro,1/1/99
13389,Divine,Cmelik,1/1/99
13392,Fumitake,Beidas,1/1/99
13396,Chuanyi,Aumann,1/1/99
13402,Augustine,Dulli,1/1/99
13405,Randy,Baba,1/1/99
13407,Gio,Chenoweth,1/1/99
13408,Sreekrishna,Lagarias,1/1/99
13415,Nathalie,Speer,1/1/99
13422,Vishwani,Gerlach,1/1/99
13442,Giordano,Miake,1/1/99
13443,Mayuko,Puppo,1/1/99
13445,Renee,Dehkordi,1/1/99
13451,Gretta,Weiland,1/1/99
13457,Shooichi,Parfitt,1/1/99
13458,Feipei,Nivat,1/1/99
13463,Theron,Berstel,1/1/99
13465,Sasan,Rehfuss,1/1/99
13493,Uinam,Jullig,1/1/99
13504,Parto,Mandell,1/1/99
13524,Chaoyi,Porotnikoff,1/1/99
13535,Arunas,Schlenzig,1/1/99
13546,Aimee,Brookner,1/1/99
13549,Matk,Koprowski,1/1/99
13552,Ingmar,Capobianchi,1/1/99
13576,Jungsoon,Engberts,1/1/99
13605,Dmitry,Encarnacion,1/1/99
13621,Fei,Haddadi,1/1/99
13624,Zhigen,Yurek,1/1/99
13629,Dzung,Trelles,1/1/99
13648,Zejun,Lamba,1/1/99
13653,Kristen,Iivonen,1/1/99
13670,Moti,Takanami,1/1/99
13680,Denny,Speer,1/1/99
13685,Weicheng,Hockney,1/1/99
13697,Shuichi,Weedon,1/1/99
13704,Vishu,Kumaresan,1/1/99
13721,Sugwoo,Delgrossi,1/1/99
13727,Vitali,Merey,1/1/99
13738,Bangqing,Mitchem,1/1/99
13766,Tremaine,Heemskerk,1/1/99
13769,Yakichi,Trogemann,1/1/99
13775,Arve,Maierhofer,1/1/99
13786,Takushi,Berendt,1/1/99
13787,Xiaobin,Sinicrope,1/1/99
13792,Valery,Sury,1/1/99
13796,Paloma,Thorelli,1/1/99
13809,Kiyotoshi,Basagni,1/1/99
13815,Guadalupe,Plotkin,1/1/99
13825,Arlette,Pell,1/1/99
13841,Christophe,Spinelli,1/1/99
13842,Juichirou,Cichocki,1/1/99
13846,Guiseppe,Welham,1/1/99
13853,Mingsen,Roohalamini,1/1/99
13859,Anoosh,Fujisawa,1/1/99
13884,Kensei,Swift,1/1/99
13894,Ult,Schonegge,1/1/99
13904,Youngkon,Cairo,1/1/99
13934,Shiv,Bratsberg,1/1/99
13942,Elzbieta,Esteva,1/1/99
13951,Mooi,Genther,1/1/99
13960,Nechama,Hettesheimer,1/1/99
13962,Maris,Ghelli,1/1/99
13966,Boguslaw,Cooman,1/1/99
13969,Jianwen,Chandrasekhar,1/1/99
13990,Deborah,Schapiro,1/1/99
13992,Ulises,Kenevan,1/1/99
13999,Florian,Crouzet,1/1/99
14005,Vojin,Stellhorn,1/1/99
14015,Manibrata,Picaronny,1/1/99
14034,Aloys,Seghrouchni,1/1/99
14041,Shan,DeMori,1/1/99
14067,Godehard,Trachtenberg,1/1/99
14088,Mori,Leslie,1/1/99
14107,Xiahua,Rindone,1/1/99
14111,Leszek,Cummings,1/1/99
14118,Kasturi,Anido,1/1/99
14167,Adas,Hertweck,1/1/99
14191,Jiann,Luby,1/1/99
14209,Masanao,Kusakabe,1/1/99
14220,Tomofumi,Pargas,1/1/99
14232,Masali,Bojadziev,1/1/99
14236,Xuedong,Angiulli,1/1/99
14237,Abdulla,Gerlach,1/1/99
14242,Sudhanshu,Benaini,1/1/99
14257,Kwok,Massonet,1/1/99
14290,Miyeon,Olivero,1/1/99
14292,Susanna,Vigier,1/1/99
14298,Chriss,Granlund,1/1/99
14310,Marlo,Leuchs,1/1/99
14320,Sreenivas,Schaar,1/1/99
14322,Shem,Kakkad,1/1/99
14323,Golgen,Leslie,1/1/99
14340,Vitaly,Wixon,1/1/99
14344,Otilia,Buescher,1/1/99
14354,Mong,Bojadziev,1/1/99
14360,Janche,Erbe,1/1/99
14372,Saniya,Srimani,1/1/99
14384,Tomofumi,Holburn,1/1/99
14422,Toshimo,Gadepally,1/1/99
14434,Elvis,Maginnis,1/1/99
14439,Raimond,Woycyznski,1/1/99
14460,Yagil,Lueh,1/1/99
14478,Munehiro,Boissier,1/1/99
14481,Moti,Lammel,1/1/99
14483,Supot,Marrevee,1/1/99
14486,Indrajit,Birdsall,1/1/99
14498,Xiong,Selenyi,1/1/99
14501,Taizo,Kroft,1/1/99
14509,Danil,Aloia,1/1/99
14513,Samphel,Barreiro,1/1/99
14515,Kazuhisa,Versino,1/1/99
14516,Kristian,Underwood,1/1/99
14518,Patricia,Peir,1/1/99
14522,Chuanyi,Ranta,1/1/99
14537,Babette,Engelmann,1/1/99
14552,Ibibia,Snyers,1/1/99
14556,Fatemeh,Zultner,1/1/99
14560,Elrique,Driscoll,1/1/99
14581,Gao,Condotta,1/1/99
14582,Kiyokazu,Morrin,1/1/99
14600,Jayson,Cairo,1/1/99
14603,Lech,Marquardt,1/1/99
14607,Suzette,Selvestrel,1/1/99
14620,Jianhua,Erev,1/1/99
14621,Souichi,Wixon,1/1/99
14632,Gudjon,McClurg,1/1/99
14639,Arvind,Hempstead,1/1/99
14640,Toshimori,Kornatzky,1/1/99
14642,Florian,Kuhnemann,1/1/99
14645,Laurentiu,Glinert,1/1/99
14648,IEEE,Lorys,1/1/99
14659,Sashi,Adachi,1/1/99
14675,Teunis,Angel,1/1/99
14677,Herbert,Sifakis,1/1/99
14683,Alois,Basart,1/1/99
14690,Yechezkel,Bellone,1/1/99
14693,Brewster,Stranks,1/1/99
14710,Mahmut,Hainaut,1/1/99
14723,Constantino,Assaf,1/1/99
14724,Aron,Lemarechal,1/1/99
14780,Marlo,Bruckman,1/1/99
14785,Zhonghua,Kaiser,1/1/99
14793,Stein,Uchoa,1/1/99
14814,Odysseas,Nishimukai,1/1/99
14817,Gaurav,Masaki,1/1/99
14821,Oguz,Kilgore,1/1/99
14839,Changho,Cronin,1/1/99
14853,Taiji,Nergos,1/1/99
14877,Arto,Meriste,1/1/99
14879,Anyuan,Sigstam,1/1/99
14888,Temple,Barriga,1/1/99
14899,Alejandro,Casley,1/1/99
14906,Adil,Parveen,1/1/99
14908,Kerhong,Flanders,1/1/99
14909,Mohan,Kamble,1/1/99
14911,Xiaobin,Chelton,1/1/99
14914,Gretta,Benzaken,1/1/99
14915,Huican,Picco,1/1/99
14923,Shuzo,Gyorkos,1/1/99
14928,Satoru,Mukaidono,1/1/99
14941,Nathan,Lichtner,1/1/99
14942,Heon,Benveniste,1/1/99
14949,Insup,Reinhart,1/1/99
14954,Fox,Magliocco,1/1/99
14971,Fan,Simmen,1/1/99
14983,Hyuckchul,Pouyioutas,1/1/99
14993,Sanjay,Koblitz,1/1/99
15005,Kiam,Sadowsky,1/1/99
15016,Woody,Gulik,1/1/99
15018,Ramalingam,Prenel,1/1/99
15019,Qingxiang,Shokrollahi,1/1/99
15029,Giordano,Koshino,1/1/99
15030,Rasikan,Nourani,1/1/99
15036,Ziva,Delgrande,1/1/99
15049,Khun,Waymire,1/1/99
15052,Flemming,Kranzdorf,1/1/99
15055,Shrikanth,Sherertz,1/1/99
15066,Tomokazu,Oaver,1/1/99
15069,Manton,Siksek,1/1/99
15071,Ayonca,Couchot,1/1/99
15075,Radoslaw,Rijsenbrij,1/1/99
15077,Toshiki,Taubenfeld,1/1/99
15082,Guadalupe,Zirintsis,1/1/99
15087,Chirstian,Ushiama,1/1/99
15089,Giri,Coney,1/1/99
15092,Remmert,Bahi,1/1/99
15102,Luigi,Axelband,1/1/99
15105,Sudhanshu,Itzigehl,1/1/99
15114,Pantung,Honglei,1/1/99
15134,Arun,Luiz,1/1/99
15145,Haldon,Servieres,1/1/99
15151,Urs,Pouyioutas,1/1/99
15176,Charlene,Sankaranarayanan,1/1/99
15193,Neelam,Schach,1/1/99
15196,Souichi,Duclos,1/1/99
15202,Pranay,Irland,1/1/99
15208,Sudharsan,Shokrollahi,1/1/99
15218,Shuky,Conry,1/1/99
15228,Mona,Salvesen,1/1/99
15230,Keiichiro,Suessmith,1/1/99
15234,Jouko,Zhiwei,1/1/99
15237,Reinhard,Sadowsky,1/1/99
15243,Mountaz,Famili,1/1/99
15248,Edwin,Baar,1/1/99
15253,Ayonca,Pardalos,1/1/99
15269,Eric,Reghbati,1/1/99
15271,Shiv,Bernardeschi,1/1/99
15292,Miyeon,Lammel,1/1/99
15324,Ziya,Lunn,1/1/99
15329,Fan,Openshaw,1/1/99
15330,Jaroslava,Chinal,1/1/99
15337,Masaru,Radivojevic,1/1/99
15343,Chaosheng,Luce,1/1/99
15354,Chikara,Nyrup,1/1/99
15365,Mikhail,Schiettecatte,1/1/99
15369,Premal,Penttonen,1/1/99
15370,Chuanyi,Nilsson,1/1/99
15372,Nahum,Broder,1/1/99
15375,Shuho,Manders,1/1/99
15377,Shugo,Aumann,1/1/99
15382,Alassane,Siegrist,1/1/99
15392,Pradeep,Markovitch,1/1/99
15408,Maik,Penttonen,1/1/99
15410,Wilmer,Kushner,1/1/99
15412,Huai,Thiria,1/1/99
15438,Constantijn,Munoz,1/1/99
15441,Arvind,Weisert,1/1/99
15452,Kazuhira,Weedman,1/1/99
15454,Hongzue,Cesareni,1/1/99
15470,Weiwu,Huhdanpaa,1/1/99
15474,Gilbert,Plumb,1/1/99
15479,Zhenbing,Soicher,1/1/99
15480,Kwok,Trogemann,1/1/99
15504,Kasturi,Alpin,1/1/99
15505,Collette,Mikschl,1/1/99
15510,Inderjeet,Sethi,1/1/99
15511,George,Kowalchuk,1/1/99
15518,Uno,Valtorta,1/1/99
15525,Masadi,Cherinka,1/1/99
15534,Guozhong,Grabner,1/1/99
15543,Mingdong,Staelin,1/1/99
15548,Sanjai,Caine,1/1/99
15563,Constantino,Zykh,1/1/99
15565,TRUE,Muchinsky,1/1/99
15566,Baoqiu,Azuma,1/1/99
15600,Mack,Perna,1/1/99
15601,Carrsten,Anily,1/1/99
15651,Huan,Iwayama,1/1/99
15656,Mohammad,Schaaf,1/1/99
15682,Hiroyasu,Przulj,1/1/99
15687,Dekang,Ambroszkiewicz,1/1/99
15703,Chenye,Hanratty,1/1/99
15708,Reuven,Kushnir,1/1/99
15714,Troy,Bala,1/1/99
15715,Insup,Ibel,1/1/99
15726,Zhilian,Parascandalo,1/1/99
15739,Poorav,Bahr,1/1/99
15740,Stepehn,Pocchiola,1/1/99
15750,Arumugam,Bresenham,1/1/99
15765,Tonny,Taubenfeld,1/1/99
15767,Baocai,Broomell,1/1/99
15769,Pranay,Oskamp,1/1/99
15788,Taegyun,Deyuan,1/1/99
15799,Manton,Gelosh,1/1/99
15809,Mingsen,Antonisse,1/1/99
15819,Magdalena,Rajcani,1/1/99
15821,Aleksander,Antonakopoulos,1/1/99
15846,Bowen,Litecky,1/1/99
15861,Gio,Anido,1/1/99
15866,Angel,Seiwald,1/1/99
15869,Guoxiang,Bala,1/1/99
15876,Munehiro,Vakili,1/1/99
15877,Yannik,Kroll,1/1/99
15880,Miquel,Dechter,1/1/99
15889,Sasan,Azumi,1/1/99
15892,Lunjin,Pettis,1/1/99
15901,Marsja,Fargier,1/1/99
15902,Kazuhide,Stille,1/1/99
15905,DeForest,Petersohn,1/1/99
15911,Shaibal,Viele,1/1/99
15934,Kensyu,Shinomoto,1/1/99
15938,Garnik,Covnot,1/1/99
15942,Murthy,Rosca,1/1/99
15943,Yakkov,Demke,1/1/99
15945,Hauke,Larfeldt,1/1/99
15948,Karoline,Versino,1/1/99
15955,Yuguang,Dratva,1/1/99
15971,Arumugam,Aloia,1/1/99
15977,King,Ballarin,1/1/99
15978,Kaijung,Wielonsky,1/1/99
15993,Yoshimitsu,Peir,1/1/99
16000,Marek,Demos,1/1/99
16018,Boutros,Papadias,1/1/99
16019,Chaoyi,Heystek,1/1/99
16025,Doowon,Luce,1/1/99
16028,JiYoung,Takkinen,1/1/99
16033,Wayne,Spelt,1/1/99
16052,Maria,Rodham,1/1/99
16066,Marsha,Penn,1/1/99
16068,Leandro,Zongker,1/1/99
16076,Marko,Ebeling,1/1/99
16077,Kannan,Heemskerk,1/1/99
16086,Mohammad,Denos,1/1/99
16094,Berto,Rosar,1/1/99
16099,Mohan,Ferretti,1/1/99
16126,Tse,Crabtree,1/1/99
16130,Kerryn,Belinskaya,1/1/99
16134,Annemarie,Chaudhuri,1/1/99
16138,Leucio,Krzyzanowski,1/1/99
16154,Monique,Docker,1/1/99
16185,Marin,Winter,1/1/99
16192,Leandro,Sigstam,1/1/99
16201,Krassimir,Olano,1/1/99
16227,Hitomi,Vural,1/1/99
16229,Ronnie,Lanzelotte,1/1/99
16230,Ung,Babu,1/1/99
16233,Sushant,Baba,1/1/99
16234,Jacopo,Basart,1/1/99
16246,Makato,Masaki,1/1/99
16252,Carrsten,Mattern,1/1/99
16266,Mikhail,Sethi,1/1/99
16272,Shuho,Zeleznik,1/1/99
16274,Sadun,Navazio,1/1/99
16324,Billie,Bazzichi,1/1/99
16337,Hironoby,Schaad,1/1/99
16341,Boutros,Fendler,1/1/99
16355,Nikolaos,Luca,1/1/99
16364,Yifei,Gini,1/1/99
16365,Janalee,Mellouli,1/1/99
16377,Duri,Stanger,1/1/99
16380,Zhilian,Chleq,1/1/99
16382,Chaoyi,Talmon,1/1/99
16383,Lidong,Czap,1/1/99
16388,Subhankar,Georgatos,1/1/99
16397,Shimshon,Cusworth,1/1/99
16398,Limsoon,Krzyzanowski,1/1/99
16399,Apostol,Collette,1/1/99
16404,Rafols,Rabehasaina,1/1/99
16412,Moss,Tokunaga,1/1/99
16425,Idoia,Beerel,1/1/99
